tweet,cmi,pp_en,pp_my,perp_ratio,particle_count,manglish_patterns,grammar_patterns,manglish_score,en_words,my_words,unknown_words,category,pp_diff
xjauh pun dio duk dkt area pantai sabak pengkalan chepa nuu cumo jalan nk masuk tu jah banyak musing jalan kampung,21.052631578947366,43574.50736950292,31065.074829223417,0.712918555011946,0,0,0,0.0,4,15,2,Mesolect (Strong Mixing),-12509.432540279504
jimin talking about bam sleeping on his arm when he was a puppy and jungkooks little giggle,0.0,11600.858826327243,34196.32780388976,2.9477410522644987,0,0,0,0.0,15,0,2,Monolingual English,22595.46897756252
not dead yet though have been a bit busy hitbox collision and clash test screenshake,7.692307692307687,16214.734563371207,36949.17434034364,2.2787406229770273,0,0,0,0.0,12,1,2,Monolingual English,20734.439776972435
baka batu batuhin kita,33.333333333333336,47321.51540066551,22345.105215952168,0.47219758341969575,0,0,0,0.0,1,2,1,Mesolect (Strong Mixing),-24976.41018471334
today must go well,0.0,18602.60615444277,26098.612560834634,1.4029546367943522,0,0,0,0.0,4,0,0,Monolingual English,7496.006406391865
mubank i thought we talked about this already,0.0,16960.97945966755,41589.283788763314,2.4520567274820873,0,1,0,0.1875,8,0,0,Basilect (Manglish),24628.304329095765
proudly present park hyung sik as avoskin brand ambassador,12.5,44998.64695887726,59918.14732273555,1.3315544215694468,0,0,0,0.0,7,1,1,Weak Code-Mixing,14919.500363858293
baruk ari marek ari jemat aritok dah ari jemat lagik berasa,14.28571428571429,44463.71539214574,55961.165094772434,1.2585804987555684,0,0,0,0.0,1,6,4,Weak Code-Mixing,11497.44970262669
klu ini asli gus bkn admin krn bicara fakta tanpa bully klu admin bicara fakta mu disertai mbully cak,27.77777777777778,43679.63995896897,46213.59984464459,1.0580123803230963,0,0,0,0.0,5,13,1,Mesolect (Strong Mixing),2533.95988567562
hou kui peaceful monkey leader tea is grown at the foot of huangshan in the former taiping prefecture anh,17.647058823529417,19327.830984094286,34342.048606211734,1.776818549089823,0,0,0,0.0,14,3,2,Weak Code-Mixing,15014.217622117449
mengapa afiqah suka tidur terlalu lama ya,14.28571428571429,39634.822189039354,12839.704306405696,0.32395009229930133,0,0,0,0.0,1,6,0,Monolingual Malay,-26795.117882633658
ya ibuk nya abis itu ya tetep dibolehin terbang sik gitu ama flight attendant ama ground staff ngoceh ng,50.0,42197.65188255339,39596.49759371045,0.9383578428467392,0,0,0,0.0,8,8,3,Mesolect (Strong Mixing),-2601.1542888429467
kode undangan saya untuk bergabung dengan starmaker berbagi uang tunai tertinggi dapat,0.0,44311.65595777653,25853.856242806505,0.5834549777927956,0,0,0,0.0,0,10,2,Ambiguous,-18457.799714970024
kalau kenaikan ni di zaman ph melantun memasing,37.5,45129.5176123934,11894.455042161413,0.26356264528063506,0,0,0,0.0,3,5,0,Monolingual Malay,-33235.06257023199
at hospital sungai buloh in sungai buloh selangor,37.5,39373.226876024666,11077.924039548807,0.28135677257112063,0,0,0,0.0,3,5,0,Monolingual Malay,-28295.302836475857
penugasan rondaan bersama pdrm atm kkm pbt rela daerah april isnin,18.181818181818176,44463.97675251744,49183.73119186596,1.1061478253647499,0,0,0,0.0,2,9,0,Weak Code-Mixing,4719.754439348522
teringat cerita anjirr bnde common belajar psikologi,16.666666666666664,45475.713339898095,39620.51878557028,0.8712456798519143,0,0,0,0.0,1,5,1,Weak Code-Mixing,-5855.1945543278125
salah ke eh tegur or cakap macam tu nvm im sorry,45.45454545454546,34190.527938105275,15424.990373399716,0.4511480606945702,1,0,1,0.2727272727272727,6,5,0,Mesolect (Strong Mixing),-18765.53756470556
scalability has proven to be one of the inherent teething problems of blockchain technology one that must be overcome in ord,5.263157894736848,12970.29697328581,24318.03490334637,1.8749019358178813,0,1,0,0.07142857142857142,18,1,2,Weak Code-Mixing,11347.737930060563
shes fierce whos presale pmest,0.0,41416.174199070236,63977.69414489346,1.5447514257927213,0,0,0,0.0,4,0,1,Monolingual English,22561.519945823224
usd idr one winner bang garr retweet this follow me and follow t,9.090909090909093,17421.372863619967,39308.49645839029,2.256337475014723,0,1,0,0.11538461538461539,10,1,2,Monolingual English,21887.123594770324
selalu saja begitu membangunnya dgn paksa hak rakyat diabaikan giliran rakyat memperjuangkan haknya ditangkap diperla,0.0,43971.808560167556,36732.120501408266,0.8353561453163094,0,0,0,0.0,0,14,1,Ambiguous,-7239.68805875929
this new heaven is another hotspot in johor bahru that you should check out td central sagu,29.411764705882348,19423.227134021974,21552.07935010808,1.1096034248787208,0,0,0,0.0,12,5,0,Mesolect (Strong Mixing),2128.8522160861066
dekat je cemor dgn klebang,25.0,46486.26205698387,27467.80893942115,0.5908801380018577,0,0,0,0.0,1,3,1,Mesolect (Strong Mixing),-19018.45311756272
tak raya pun dah teringin kalau ghaya mesti lg teringin kan tart cadburry nih korg kena cuba satu sorg cod,27.77777777777778,43624.392451793814,28027.16872346196,0.6424655370142467,1,0,0,0.1,5,13,2,Mesolect (Strong Mixing),-15597.223728331854
fucking in front of the mirror makes me too bitchy do you like doing it,0.0,5394.796433623038,26458.70599890247,4.904486448088891,0,0,0,0.0,14,0,1,Monolingual English,21063.909565279435
thread bahulu flavor selalu tengok bahulu biasa je kan taksangka macam macam perasa yang korang boleh beli kat shopee,27.77777777777778,43679.74266221682,20833.93263569055,0.4769701322831281,1,0,0,0.10526315789473684,5,13,1,Mesolect (Strong Mixing),-22845.81002652627
masa aku kerja eco shop ramai customer jenis anggap ni kedai murah pastu sepahkan barang ikut kepala dia bila ak,25.0,43625.27153341407,23600.747942470705,0.5409879895966744,0,0,0,0.0,5,15,0,Mesolect (Strong Mixing),-20024.52359094336
price receive thank you so much,0.0,5461.387141778975,13480.869842353668,2.4683966714658596,0,0,0,0.0,6,0,0,Monolingual English,8019.482700574693
take the survey on the following link and earn free rewards and free giftshere,0.0,20401.65869386195,33719.53010079815,1.652783756790472,0,0,0,0.0,13,0,1,Monolingual English,13317.871406936196
silahkan bergabung sebentar lagi mulai,25.0,46486.26205698387,37597.54469848153,0.808788296473346,0,0,0,0.0,1,3,1,Mesolect (Strong Mixing),-8888.717358502341
jt rupiah or iphone pro for one winner in days rt follow,0.0,32813.264920445385,45937.73548964422,1.3999745408150837,0,1,0,0.125,10,0,2,Basilect (Manglish),13124.470569198835
siap berperang ya untung lawooo,19.999999999999996,46493.72804814162,35054.966465609104,0.7539719428244531,0,0,0,0.0,1,4,0,Weak Code-Mixing,-11438.761582532512
no rent necessary hes in our and sik own him on each side of the planet i,5.882352941176472,15546.306002253225,25069.60144269558,1.61257609615185,0,0,0,0.0,16,1,0,Weak Code-Mixing,9523.295440442356
thank you lahore for the massive support the biggest jalsa in my years in politics and the most responsive and pass,5.000000000000004,7945.322915311742,16744.93050966229,2.1075204479597023,0,0,0,0.0,19,1,1,Monolingual English,8799.607594350546
tragedi ketika bersahurdua beradik muhammad fahmi mohd fazlan nizam dan adik perempuannya nor fahmia bulan mau,14.28571428571429,43886.44816219862,34761.882715347645,0.7920869464503538,0,0,0,0.0,2,12,2,Weak Code-Mixing,-9124.565446850975
since last day ramadan did you guys remember yrs ago when akim or paan say mencari lailatul suhaila inst,29.411764705882348,25599.816927453794,41307.03977977301,1.6135677804584005,0,0,0,0.0,12,5,2,Mesolect (Strong Mixing),15707.222852319217
wow ben key witness a war crimes accused ex sas soldier just identified in the federal court that a,0.0,24391.47047570677,29996.010788463387,1.2297745975724828,0,0,0,0.0,19,0,0,Monolingual English,5604.540312756617
banyak yg batu gak sih warga sono,16.666666666666664,45463.69843963331,28160.87850448191,0.6194145982618181,0,0,0,0.0,1,5,1,Weak Code-Mixing,-17302.819935151398
video konflik lahan terkait proyek strategis pariwisata nasional di labuan bajo flores seorang petani ditangkap polisi,25.0,43889.602319878395,44514.25940171952,1.0142324616497655,0,0,0,0.0,3,9,4,Mesolect (Strong Mixing),624.6570818411274
arghh i miss that time so much,0.0,7489.332319723735,18011.84317545156,2.4049998593353883,0,0,0,0.0,6,0,1,Monolingual English,10522.510855727824
there is no light without darkness like rt tag friendscomment your favourite animefollow c,0.0,23126.749345889748,30131.940859780483,1.3029042866820255,0,0,0,0.0,12,0,2,Monolingual English,7005.191513890735
like to wish her majesty the queen a happy and glorious th birthday,8.333333333333337,20969.630669806374,41607.072784275915,1.984158588171267,0,0,0,0.0,11,1,1,Weak Code-Mixing,20637.44211446954
rasa nak kejut tapi kena sabar teman teman,0.0,45127.749206048335,15396.074994466122,0.34116647218919205,0,0,0,0.0,0,8,0,Monolingual Malay,-29731.674211582213
pgeon is so fast nowadays yesterday in kl today already delivered to penang meanwhile for j t yesterday in pen,10.526315789473683,35105.83312070085,48115.78573317053,1.3705923334090624,0,1,0,0.075,17,2,1,Weak Code-Mixing,13009.952612469679
omong kosong jargon indonesia negara agraris karena cepat atau lambat segala sumber daya agraria akan dirampas oleh n,12.5,42177.204544194086,42715.937487275114,1.0127730832069852,0,1,0,0.08333333333333333,2,14,2,Weak Code-Mixing,538.7329430810278
you are one click away from giving your business a positive turn around rush to to start getting,0.0,16830.36250653425,29132.070083139526,1.7309235063611517,0,1,0,0.08333333333333333,18,0,0,Monolingual English,12301.707576605277
bihari dehati mithai are my most fav good morning,0.0,30396.55460204505,35916.212582068234,1.1815882771020314,0,0,0,0.0,6,0,3,Monolingual English,5519.657980023185
